"id","mese","sgr_value"
"22","Settembre ","3.7"
"23","Gennaio  ","0.8"
"24","Febbraio","1.2"
"25","Marzo","3.4"
"26","Aprile","3.7"
"27","Maggio","5.7"
"28","Giugno","7"
"29","Luglio","7.9"
"30","Agosto","8.3"
"31","Ottobre","4.1"
"32","Novembre ","1.6"
"33","Dicembre","0.8"
