id,physical_number,state,current_cycle_id,nfc_data,flupsy_id,row,position,cycle_code
2,1,available,,04:41:43:8a:7a:00:00,1,SX,1,
3,2,active,1,04:1d:7d:8a:7a:00:00,2,SX,7,2-2-2503
1,1,active,2,04:83:97:8a:7a:00:00,2,DX,3,1-2-2503
4,3,active,3,,2,SX,2,3-2-2503
